5403,ZAPALLO MACRE(COSTA/SIERRA/SELVA)
7215,MANGO EDWARD PLANTA
7305,MAZANA CORRIENTE PARA AGUA
7401,MARACUYA COSTA
0101,ACELGA
0201,AJI AMARILLO SECO
0202,AJI ESCABECHE FRESCO/ZANAHOR/LISO
0206,AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA)
0208,AJI SECO PANCA
0209,AJI ROCOTO (COSTA/SIERRA/SELVA)
0211,PAPRIKA
0302,AJO CRIOLLO O NAPURI
0303,AJO MORADO/BARRAN/LEGIT/OTROS
0304,AJO IMPORTADO
0401,ALBAHACA
0502,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA
0601,APIO
0701,ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR)
0702,ARVEJA VERDE AZUL (CRIOLLA/SERRANA)
0704,ARVEJA VERDE BLANCA SERRANA
0801,BERENJENA (CRIOLLA/SERRANA)
0901,BETERRAGA (CRIOLLA/SERRANA)
1001,CAIGUA (CRIOLLA/SERRANA)
1002,CAIGUA (SELVA)
1201,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU
1203,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON
1401,CEBOLLA CABEZA BLANCA NACIONAL
1402,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL
1403,CEBOLLA CHINA (CRIOLLA/SERRANA)
1502,COL CORAZON/NENE/(CRIOLLA/SERRANA)
1503,COL CRESPA
1601,COLIFLOR (CRIOLLA/SERRANA)
1701,CULANTRO (CRIOLLO/SERRANO)
1801,CHOCLO SERRANO SEMILLA CORRIENTE
1802,CHOCLO PARDO
1804,CHOCLO SERRANO TIPO CUZCO
2001,ESPARRAGO/VERDE/BLANCO
2101,ESPINACA (CRIOLLA/SERRANA)
2201,FREJOL VERDE CANARIO
2202,FREJOL VERDE CASTILLA
2207,FREJOL SECO CANARIO(CAMA/CHIN/HUAR/SERR)
2404,HABA VERDE CRIOLLA/SRTA/GERG/PACAE/AMAR
2405,HABA VERDE SERRANA
2501,HIERBA BUENA (CRIOLLA/SERRANA)
2601,JOLANTAU/ORGANICA
2602,COL CHINA/LONGAPA
2603,PACCHOY
2615,KION (COSTA/SELVA)
2617,FREJOLITO CHINO
