2006,2207,3.9,3.3,3.9,0,3.88,3.78,3.66,3.33,3.27,3.75,3.76,3.64,3.65
2006,2209,0,0,0,0,0,0,1.9,0,0,0,0,0,1.9
2006,2210,2.5,0,3.2,2.1,0,0,1.9,1.91,1.86,1.93,1.96,0,2.17
2006,2211,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
2006,2212,0,0,0,3.65,0,0,3.5,2.9,0,0,3.3,0,3.34
2006,2213,3.2,0,3.2,3.65,0,0,0,0,0,0,0,0,3.35
2006,2214,0,0,0,3.3,0,2.25,2.5,0,0,0,2.1,0,2.54
2006,2301,0,3.9,0,5.3,0,0,4.9,3.67,0,0,4.1,0,4.37
2006,2303,0,0,0,5.3,0,4.75,0,4.1,0,0,0,0,4.72
2006,2401,1.95,0,1.9,1.75,0,0,1.9,1.47,0,0,1.9,0,1.81
2006,2403,2.5,2.3,2.3,2.3,0,2.5,2.3,1.87,0,0,2.3,0,2.3
2006,2404,0,0,0,0,0,0.97,0.63,0.55,0.68,1.04,0.67,0,0.76
2006,2405,1.02,0.87,0.91,0.7,0.7,1.17,0.72,0.83,1.04,1.22,0.87,0.84,0.91
2006,2407,0,0,0,0,0,0,0,2.37,0,0,0,0,2.37
2006,2501,1.15,1.32,1.77,1.28,1.41,1.25,1.24,1.15,1.11,1.21,1.08,1.18,1.26
2006,2601,5.01,12.7,7.88,5.57,5.29,5.08,4.16,5.8,4.58,3.34,4.24,5.38,5.75
2006,2602,1.47,1.72,2.41,2.78,1.89,1.5,1.2,1.52,1.66,1.64,1.41,1.54,1.73
2006,2603,2.9,3.5,4.34,3.67,3.12,2.72,2.45,5.18,2.82,2.37,2.58,3.06,3.23
2006,2615,1.12,1.16,1.24,1.32,1.2,1.09,1.06,0.93,0.93,0.95,0.91,0.95,1.07
2006,2617,1.83,1.95,1.87,1.91,1.94,1.85,1.73,1.83,1.82,1.83,1.72,1.8,1.84
2006,2618,1.31,1.71,1.45,1.28,1.24,1.03,0.97,1.5,1.51,1.65,1.11,1.24,1.33
2006,2620,0,0,0,0,2.26,2.29,2.16,2.31,2.04,2.09,1.97,2.23,2.17
